title,description,price,category,image_url,colors,sizes,rating,is_new,is_on_sale,discount_percent,stock
"Playera Polo Ralph Lauren Hombre Original","Prenda de alta calidad con diseño moderno y cómodo.",899,"hombre","https://picsum.photos/500/600?random=hombre_1","[{""name"":""Azul Marino"",""hex"":""#1E40AF""},{""name"":""Blanco"",""hex"":""#FFFFFF""},{""name"":""Negro"",""hex"":""#000000""}]","[""S"",""M"",""L"",""XL""]",4.9,false,true,26,38
"Jeans Levi's 501 Original Fit Hombre","Estilo contemporáneo con detalles únicos.",1299,"hombre","https://picsum.photos/500/600?random=hombre_2","[{""name"":""Azul Clásico"",""hex"":""#2563EB""},{""name"":""Negro"",""hex"":""#000000""}]","[""30"",""32"",""34"",""36"",""38""]",4.2,false,false,0,107
"Camisa Formal Tommy Hilfiger Hombre","Diseño versátil que se adapta a cualquier ocasión.",1199,"hombre","https://picsum.photos/500/600?random=hombre_3","[{""name"":""Blanco"",""hex"":""#FFFFFF""},{""name"":""Azul Claro"",""hex"":""#60A5FA""}]","[""S"",""M"",""L"",""XL""]",4.7,false,false,0,36
"Sudadera Nike Sportswear Club Fleece","Diseño atemporal que nunca pasa de moda.",999,"hombre","https://picsum.photos/500/600?random=hombre_4","[{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Negro"",""hex"":""#000000""},{""name"":""Azul Marino"",""hex"":""#1E40AF""}]","[""S"",""M"",""L"",""XL"",""XXL""]",4.1,false,false,0,86
"Pantalón Chino Dockers Alpha Khaki","Estilo contemporáneo con detalles únicos.",899,"hombre","https://picsum.photos/500/600?random=hombre_5","[{""name"":""Caqui"",""hex"":""#92400E""},{""name"":""Azul Marino"",""hex"":""#1E40AF""},{""name"":""Negro"",""hex"":""#000000""}]","[""30"",""32"",""34"",""36""]",4.3,false,false,0,27
"Playera Básica Hanes ComfortSoft","Perfecto para uso diario, combina estilo y comodidad.",299,"hombre","https://picsum.photos/500/600?random=hombre_6","[{""name"":""Blanco"",""hex"":""#FFFFFF""},{""name"":""Negro"",""hex"":""#000000""},{""name"":""Gris"",""hex"":""#6B7280""}]","[""S"",""M"",""L"",""XL""]",4.7,false,false,0,101
"Chamarra Mezclilla Levi's Trucker","Estilo contemporáneo con detalles únicos.",1599,"hombre","https://picsum.photos/500/600?random=hombre_7","[{""name"":""Azul Clásico"",""hex"":""#2563EB""},{""name"":""Negro"",""hex"":""#000000""}]","[""S"",""M"",""L"",""XL""]",4.4,false,true,30,73
"Shorts Bermuda Adidas 3-Stripes","Diseño versátil que se adapta a cualquier ocasión.",699,"hombre","https://picsum.photos/500/600?random=hombre_8","[{""name"":""Negro"",""hex"":""#000000""},{""name"":""Azul Marino"",""hex"":""#1E40AF""}]","[""S"",""M"",""L"",""XL""]",4.5,false,false,0,23
"Suéter Cuello V Gap Merino Wool","Comodidad y elegancia en una sola prenda.",1299,"hombre","https://picsum.photos/500/600?random=hombre_9","[{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Azul Marino"",""hex"":""#1E40AF""},{""name"":""Negro"",""hex"":""#000000""}]","[""S"",""M"",""L"",""XL""]",5.0,false,true,23,89
"Playera Henley Old Navy Soft-Washed","Prenda de alta calidad con diseño moderno y cómodo.",399,"hombre","https://picsum.photos/500/600?random=hombre_10","[{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Azul Marino"",""hex"":""#1E40AF""},{""name"":""Blanco"",""hex"":""#FFFFFF""}]","[""S"",""M"",""L"",""XL""]",4.4,false,true,23,88
"Pantalón Deportivo Nike Dri-FIT","Diseño versátil que se adapta a cualquier ocasión.",899,"hombre","https://picsum.photos/500/600?random=hombre_11","[{""name"":""Negro"",""hex"":""#000000""},{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Azul Marino"",""hex"":""#1E40AF""}]","[""S"",""M"",""L"",""XL""]",4.7,false,false,0,112
"Camisa Cuadros Flannel American Eagle","Material premium con acabados de excelente calidad.",799,"hombre","https://picsum.photos/500/600?random=hombre_12","[{""name"":""Rojo/Negro"",""hex"":""#6B7280""},{""name"":""Azul/Blanco"",""hex"":""#6B7280""}]","[""S"",""M"",""L"",""XL""]",4.8,false,false,0,36
"Hoodie Champion Powerblend Fleece","Material premium con acabados de excelente calidad.",899,"hombre","https://picsum.photos/500/600?random=hombre_13","[{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Negro"",""hex"":""#000000""},{""name"":""Azul Marino"",""hex"":""#1E40AF""}]","[""S"",""M"",""L"",""XL""]",4.1,false,false,0,96
"Jeans Skinny Zara Man Denim","Perfecto para uso diario, combina estilo y comodidad.",899,"hombre","https://picsum.photos/500/600?random=hombre_14","[{""name"":""Azul Oscuro"",""hex"":""#1E3A8A""},{""name"":""Negro"",""hex"":""#000000""}]","[""30"",""32"",""34"",""36""]",4.2,false,false,0,83
"Playera Manga Larga Uniqlo Heattech","Prenda de alta calidad con diseño moderno y cómodo.",499,"hombre","https://picsum.photos/500/600?random=hombre_15","[{""name"":""Blanco"",""hex"":""#FFFFFF""},{""name"":""Negro"",""hex"":""#000000""},{""name"":""Gris"",""hex"":""#6B7280""}]","[""S"",""M"",""L"",""XL""]",4.8,false,true,29,32
"Chaleco Acolchado Columbia Flash Forward","Prenda de alta calidad con diseño moderno y cómodo.",1199,"hombre","https://picsum.photos/500/600?random=hombre_16","[{""name"":""Negro"",""hex"":""#000000""},{""name"":""Azul Marino"",""hex"":""#1E40AF""}]","[""S"",""M"",""L"",""XL""]",4.6,false,false,0,119
"Bermudas Cargo Dickies Relaxed Fit","Confeccionado con materiales de primera calidad.",699,"hombre","https://picsum.photos/500/600?random=hombre_17","[{""name"":""Caqui"",""hex"":""#92400E""},{""name"":""Verde Militar"",""hex"":""#166534""}]","[""30"",""32"",""34"",""36""]",4.9,false,false,0,63
"Playera Gráfica Vans Off The Wall","Diseño atemporal que nunca pasa de moda.",599,"hombre","https://picsum.photos/500/600?random=hombre_18","[{""name"":""Negro"",""hex"":""#000000""},{""name"":""Blanco"",""hex"":""#FFFFFF""}]","[""S"",""M"",""L"",""XL""]",4.1,true,true,33,52
"Pantalón Jogger Puma Essentials","Estilo contemporáneo con detalles únicos.",799,"hombre","https://picsum.photos/500/600?random=hombre_19","[{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Negro"",""hex"":""#000000""}]","[""S"",""M"",""L"",""XL""]",4.0,false,false,0,104
"Camisa Lino Massimo Dutti Casual","Diseño versátil que se adapta a cualquier ocasión.",1399,"hombre","https://picsum.photos/500/600?random=hombre_20","[{""name"":""Blanco"",""hex"":""#FFFFFF""},{""name"":""Azul Claro"",""hex"":""#60A5FA""}]","[""S"",""M"",""L"",""XL""]",4.8,false,false,0,71
"Playera Deportiva Under Armour Tech","Diseño atemporal que nunca pasa de moda.",699,"hombre","https://picsum.photos/500/600?random=hombre_21","[{""name"":""Negro"",""hex"":""#000000""},{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Azul"",""hex"":""#3B82F6""}]","[""S"",""M"",""L"",""XL""]",4.5,true,true,30,116
"Jeans Recto Wrangler Cowboy Cut","Material premium con acabados de excelente calidad.",999,"hombre","https://picsum.photos/500/600?random=hombre_22","[{""name"":""Azul Clásico"",""hex"":""#2563EB""},{""name"":""Negro"",""hex"":""#000000""}]","[""30"",""32"",""34"",""36"",""38""]",4.0,false,false,0,111
"Suéter Crew Neck J.Crew Cotton","Diseño atemporal que nunca pasa de moda.",1199,"hombre","https://picsum.photos/500/600?random=hombre_23","[{""name"":""Gris"",""hex"":""#6B7280""},{""name"":""Azul Marino"",""hex"":""#1E40AF""}]","[""S"",""M"",""L"",""XL""]",4.4,true,true,21,102
