title,description,price,category,image_url,colors,sizes,rating,is_new,is_on_sale,discount_percent,stock
"Playera Oversize Negra","Algodón premium, corte relajado, ideal para uso diario.",399,hombre,"https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""S"", ""M"", ""L"", ""XL""]",4.7,true,false,0,100
"Jeans Skinny Azul","Mezclilla stretch de alta calidad, ajuste perfecto.",899,hombre,"https://images.unsplash.com/photo-1542272604-787c3835535d?w=500","[{""name"": ""Azul Oscuro"", ""hex"": ""#1E3A8A""}, {""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}]","[""28"", ""30"", ""32"", ""34"", ""36""]",4.5,false,true,15,50
"Sudadera Con Capucha","Felpa suave por dentro, diseño moderno y cómodo.",699,hombre,"https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=500","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""S"", ""M"", ""L"", ""XL"", ""XXL""]",4.8,true,false,0,75
"Camisa Formal Blanca","Corte slim, algodón premium, ideal para la oficina.",799,hombre,"https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=500","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Azul Claro"", ""hex"": ""#DBEAFE""}]","[""S"", ""M"", ""L"", ""XL""]",4.6,false,false,0,60
"Chaqueta Deportiva","Resistente al viento, perfecta para entrenar.",1299,hombre,"https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=500","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""S"", ""M"", ""L"", ""XL""]",4.9,true,true,20,40
"Vestido Midi Elegante","Diseño sofisticado, perfecto para ocasiones especiales.",1199,mujer,"https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=500","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.8,true,false,0,30
"Blusa Satinada Rosa","Tela sedosa, corte favorecedor para el día a día.",599,mujer,"https://images.unsplash.com/photo-1551803091-e20673f15770?w=500","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""XS"", ""S"", ""M"", ""L""]",4.5,false,true,25,80
"Jeans Mom Fit","Corte vintage relajado, cintura alta muy favorecedor.",999,mujer,"https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=500","[{""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}, {""name"": ""Azul Oscuro"", ""hex"": ""#1E3A8A""}]","[""24"", ""26"", ""28"", ""30"", ""32""]",4.7,true,false,0,65
"Cardigan Oversized","Tejido suave, perfecto para capas en cualquier época.",899,mujer,"https://images.unsplash.com/photo-1583744946564-b52ac1c389c8?w=500","[{""name"": ""Beige"", ""hex"": ""#D6D3D1""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""XS"", ""S"", ""M"", ""L""]",4.6,false,false,0,90
"Falda Plisada Midi","Diseño atemporal, fácil de combinar para cualquier look.",699,mujer,"https://images.unsplash.com/photo-1583846499607-cc99d1d0ed14?w=500","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Camel"", ""hex"": ""#92400E""}]","[""XS"", ""S"", ""M"", ""L""]",4.4,false,true,30,55
"Playera Dinosaurios","Algodón orgánico, estampado divertido y colorido.",249,ninos,"https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=500","[{""name"": ""Verde"", ""hex"": ""#10B981""}, {""name"": ""Azul"", ""hex"": ""#3B82F6""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.9,true,false,0,150
"Shorts Deportivos","Tela ligera y transpirable, perfectos para jugar.",299,ninos,"https://images.unsplash.com/photo-1519235106638-30cc49b5dbc5?w=500","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Rojo"", ""hex"": ""#EF4444""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.7,false,true,20,120
"Sudadera Con Capucha Niño","Felpa suave, diseño moderno y cómodo para niños.",449,ninos,"https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=500","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.8,true,false,0,100
"Jeans Cómodos","Mezclilla suave, cintura elástica para mayor comodidad.",499,ninos,"https://images.unsplash.com/photo-1542272604-787c3835535d?w=500","[{""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}, {""name"": ""Azul Oscuro"", ""hex"": ""#1E3A8A""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.6,false,false,0,85
"Polo Rayas","Diseño clásico con rayas, perfecto para cualquier ocasión.",349,ninos,"https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=500","[{""name"": ""Azul/Blanco"", ""hex"": ""#3B82F6""}, {""name"": ""Rojo/Blanco"", ""hex"": ""#EF4444""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.5,false,true,15,110
"Vestido Princesa Rosa","Diseño encantador con tul y brillos, ideal para fiestas.",599,ninas,"https://images.unsplash.com/photo-1612336307429-8a898d10e223?w=500","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Lila"", ""hex"": ""#A855F7""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.9,true,false,0,70
"Leggings Unicornio","Estampado mágico, tela elástica y muy suave.",299,ninas,"https://images.unsplash.com/photo-1518486373924-702e4e3c4d6a?w=500","[{""name"": ""Rosa/Morado"", ""hex"": ""#F472B6""}, {""name"": ""Azul/Blanco"", ""hex"": ""#60A5FA""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.8,false,true,25,95
"Blusa Flores","Estampado floral delicado, manga corta y cuello redondo.",349,ninas,"https://images.unsplash.com/photo-1551803091-e20673f15770?w=500","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Amarillo"", ""hex"": ""#FDE047""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.7,true,false,0,130
"Falda Tul","Falda de tul con brillos, perfecta para ocasiones especiales.",449,ninas,"https://images.unsplash.com/photo-1583846499607-cc99d1d0ed14?w=500","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Dorado"", ""hex"": ""#F59E0B""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.6,false,false,0,60
