title,description,price,category,image_url,colors,sizes,rating,is_new,is_on_sale,discount_percent,stock
"Playera Oversize Negra","Algodón premium, corte relajado, ideal para uso diario.",399,hombre,"https://picsum.photos/500/600?random=1","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""S"", ""M"", ""L"", ""XL""]",4.7,false,false,0,100
"Jeans Skinny Azul","Mezclilla stretch de alta calidad, ajuste perfecto.",899,hombre,"https://picsum.photos/500/600?random=2","[{""name"": ""Azul Oscuro"", ""hex"": ""#1E3A8A""}, {""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}]","[""28"", ""30"", ""32"", ""34"", ""36""]",4.5,false,true,15,50
"Sudadera Con Capucha","Felpa suave por dentro, diseño moderno y cómodo.",699,hombre,"https://picsum.photos/500/600?random=3","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""S"", ""M"", ""L"", ""XL"", ""XXL""]",4.8,false,false,0,75
"Camisa Formal Blanca","Corte slim, algodón premium, ideal para la oficina.",799,hombre,"https://picsum.photos/500/600?random=4","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Azul Claro"", ""hex"": ""#DBEAFE""}]","[""S"", ""M"", ""L"", ""XL""]",4.6,false,false,0,60
"Chaqueta Deportiva","Resistente al viento, perfecta para entrenar.",1299,hombre,"https://picsum.photos/500/600?random=5","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""S"", ""M"", ""L"", ""XL""]",4.9,false,true,20,40
"Polo Básico","Algodón piqué, corte clásico para uso diario.",349,hombre,"https://picsum.photos/500/600?random=6","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""S"", ""M"", ""L"", ""XL""]",4.3,false,false,0,120
"Shorts Cargo","Múltiples bolsillos, perfecto para actividades al aire libre.",599,hombre,"https://picsum.photos/500/600?random=7","[{""name"": ""Caqui"", ""hex"": ""#92400E""}, {""name"": ""Verde"", ""hex"": ""#10B981""}]","[""S"", ""M"", ""L"", ""XL""]",4.4,false,true,10,80
"Playera Gráfica","Estampado moderno, algodón suave.",449,hombre,"https://picsum.photos/500/600?random=8","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""S"", ""M"", ""L"", ""XL""]",4.2,false,false,0,90
"Pantalón Chino","Corte moderno, tela resistente y cómoda.",799,hombre,"https://picsum.photos/500/600?random=9","[{""name"": ""Beige"", ""hex"": ""#D6D3D1""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""28"", ""30"", ""32"", ""34"", ""36""]",4.5,false,false,0,70
"Chamarra Mezclilla","Clásica chaqueta de mezclilla, nunca pasa de moda.",999,hombre,"https://picsum.photos/500/600?random=10","[{""name"": ""Azul Clásico"", ""hex"": ""#3B82F6""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""S"", ""M"", ""L"", ""XL""]",4.6,false,true,25,45
"Playera Henley","Cuello con botones, estilo casual elegante.",499,hombre,"https://picsum.photos/500/600?random=11","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""S"", ""M"", ""L"", ""XL""]",4.4,false,false,0,85
